192014,8231,15991036,34.015866,-118.284076,308 2661,198477,8453,15991036,33.945717,-118.370888,994 1870 2242 2356
151461,6488,1681391870,34.09074,-118.347768,992 1605 300,153865,6577,1681391870,34.090722,-118.34786,2471 362 55 792 2373
108276,4412,35651855,34.061204,-118.308498,440 774 256 1815,111685,4566,35651855,34.061204,-118.308498,1020 899 1815
115024,4985,197656851,34.060387,-118.383387,2733 423,121164,5214,197656851,34.060414,-118.383578,1115
200027,8498,371982643,34.07362,-118.468237,2144 1998 1115 366 858 692,204367,8621,371982643,34.076443,-118.429338,2364 366 2267 1659
204367,8621,371982643,34.076443,-118.429338,2364 366 2267 1659,207779,8720,371982643,34.07647,-118.429549,2694 2267 1659
209141,8766,371982643,34.07647,-118.429549,2694 2267 1998 2267 1659,211761,8884,371982643,34.07647,-118.429549,1115 1998 2694 2267 1659
2442,52,89391412,34.044565,-118.251448,1110 2705,5994,139,89391412,34.044632,-118.251477,231 2299 1887 2883 955 2111
21952,1102,89391412,34.044575,-118.251467,399 1543 64 209 1107 1031 205 1110 2463 3003,27967,1283,89391412,34.04471,-118.251381,2116 452 2474 1938
140403,5777,89391412,34.044725,-118.251313,2870 3070,145851,5962,89391412,34.044673,-118.251261,1317 2140
188247,8111,89391412,34.044829,-118.251207,2517 2977 2880,194820,8330,89391412,34.051898,-118.251975,1928 2209 1110
234392,9907,89391412,34.045667,-118.251042,1038 446 1038 2463 2509 2052,237534,9983,89391412,34.045624,-118.251074,3051 494 2265
179978,7824,404750664,34.016613,-118.497334,2369 907 2128 1741,183719,7970,404750664,33.976205,-118.46521,1661 2242 2242 1661 1224
52319,2380,223347021,33.986563,-118.181045,560,56010,2515,223347021,33.988873,-118.284479,219 2817 1058 2219
51308,2344,21365075,34.168296,-118.370107,733 363 452 733 363 618 511,53986,2444,21365075,34.166856,-118.369224,2962
189246,8142,21365075,34.086525,-118.379364,68 3046 1871 469 2689,194359,8312,21365075,34.097809,-118.329033,443 2091 2365 2346 745
194359,8312,21365075,34.097809,-118.329033,443 2091 2365 2346 745,197446,8420,21365075,34.090512,-118.373859,1933 2488 2911 1427 2911
